Наименование ДП,Факт. 1,Факт. 2,Факт. 3,Факт. 4,Факт. 5,Факт. 6,Факт. 7,Факт. 8,Факт. 9,Факт. 10,Факт. 11,Факт. 12,Факт. 13,Факт. 14,Факт. 15,Факт. 16,Факт. 17,Факт. 18,Факт. 19,Факт. 20,Факт. 21,Факт. 22,Факт. 23,Факт. 24,Факт. 25,Факт. 26,Факт. 27,Факт. 28,Факт. 29,Факт. 30,Факт. 31,Факт. 32,Факт. 33,Факт. 34,Факт. 35,Факт. 36,Факт. 37,Факт. 38,Факт. 39,Факт. 40,Факт. 41,Факт. 42,Факт. 43,Факт. 44,Факт. 45,Факт. 46,Факт. 47,Факт. 48,Факт. 49,Факт. 50,Факт. 51,Факт. 52,Факт. 53,Факт. 54,Факт. 55,Факт. 56,Факт. 57,Факт. 58,Факт. 59,Факт. 60,Итого,"Макс. ПДЗ за 2020 год, дней","Сред. ПДЗ за 2020 год, дней","Кол-во просрочек свыше 5-ти дней за 2020 год, шт.","Общая сумма ПДЗ свыше 5-ти дней за 2020 год, руб.","Кол-во раз ПДЗ за 2020 год, шт.","2016, Нематериальные активы, RUB","2017, Нематериальные активы, RUB","2018, Нематериальные активы, RUB","2019, Нематериальные активы, RUB","2016, Основные средства , RUB","2017, Основные средства , RUB","2018, Основные средства , RUB","2019, Основные средства , RUB","2016, Внеоборотные активы, RUB","2017, Внеоборотные активы, RUB","2018, Внеоборотные активы, RUB","2019, Внеоборотные активы, RUB","2016, Дебиторская задолженность, RUB","2017, Дебиторская задолженность, RUB","2018, Дебиторская задолженность, RUB","2019, Дебиторская задолженность, RUB","2016, Оборотные активы, RUB","2017, Оборотные активы, RUB","2018, Оборотные активы, RUB","2019, Оборотные активы, RUB","2016, Уставный капитал , RUB","2017, Уставный капитал , RUB","2018, Уставный капитал , RUB","2019, Уставный капитал , RUB","2016, Капитал и резервы, RUB","2017, Капитал и резервы, RUB","2018, Капитал и резервы, RUB","2019, Капитал и резервы, RUB","2016, Заёмные средства (долгосрочные), RUB","2017, Заёмные средства (долгосрочные), RUB","2018, Заёмные средства (долгосрочные), RUB","2019, Заёмные средства (долгосрочные), RUB","2016, Долгосрочные обязательства, RUB","2017, Долгосрочные обязательства, RUB","2018, Долгосрочные обязательства, RUB","2019, Долгосрочные обязательства, RUB","2016, Заёмные средства (краткосрочные), RUB","2017, Заёмные средства (краткосрочные), RUB","2018, Заёмные средства (краткосрочные), RUB","2019, Заёмные средства (краткосрочные), RUB","2016, Кредиторская задолженность, RUB","2017, Кредиторская задолженность, RUB","2018, Кредиторская задолженность, RUB","2019, Кредиторская задолженность, RUB","2016, Краткосрочные обязательства, RUB","2017, Краткосрочные обязательства, RUB","2018, Краткосрочные обязательства, RUB","2019, Краткосрочные обязательства, RUB","2016, Выручка, RUB","2017, Выручка, RUB","2018, Выручка, RUB","2019, Выручка, RUB","2016, Себестоимость продаж, RUB","2017, Себестоимость продаж, RUB","2018, Себестоимость продаж, RUB","2019, Себестоимость продаж, RUB","2016, Прибыль (убыток) до налогообложения , RUB","2017, Прибыль (убыток) до налогообложения , RUB","2018, Прибыль (убыток) до налогообложения , RUB","2019, Прибыль (убыток) до налогообложения , RUB","2016, Прибыль (убыток) от продажи, RUB","2017, Прибыль (убыток) от продажи, RUB","2018, Прибыль (убыток) от продажи, RUB","2019, Прибыль (убыток) от продажи, RUB"
241,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,30,Х,30,Х,Н/Д,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,70.0,0,0.0,0,0.0,0,117197.4522292994,68152.86624203822,20382.16560509554,0.0,400821019.1082802,381285987.2611465,385771337.5796178,355010191.0828025,401059235.6687898,385858598.7261146,386076433.1210191,355680254.77707,6380891.719745223,21598726.11464968,21535668.78980892,13626751.59235669,54776433.1210191,99480254.77707006,168397452.2292994,177457324.8407643,2101910.828025477,245859872.6114649,245859872.6114649,245859872.6114649,435792356.6878981,377329299.3630573,363914012.7388535,335887898.0891719,0.0,53313375.79617834,129116560.5095541,0.0,1538853.503184713,54669426.75159235,130302547.7707006,1080891.719745223,0.0,38853.50318471337,0.0,126380891.7197452,7342038.216560509,42180254.77707006,47912738.85350318,49973248.40764331,18504458.59872611,53340127.38853503,60257324.84076433,196168789.8089172,47746496.81528662,158673248.4076433,305754140.1273885,381654140.1273885,128131847.133758,190743949.044586,294430573.2484076,380332484.0764331,-144469426.7515923,-58790445.85987261,-13546496.81528662,-28374522.29299363,-95647770.70063694,-47872611.46496815,-57324.84076433121,-19452229.29936305
242,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,20,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,30.0,0,0.0,0,0.0,0,208917.1974522293,184076.4331210191,163057.3248407643,141401.2738853503,548790445.8598726,393623566.8789809,311065605.0955414,238145222.9299363,600929299.3630573,472435031.8471338,446057961.7834395,384359235.6687898,1920330573.248408,398115286.6242038,179747770.7006369,365052866.2420382,2524403821.656051,884936305.732484,551467515.9235668,783540127.388535,647133757.9617834,647133757.9617834,647133757.9617834,647133757.9617834,552505095.5414013,344798089.1719745,116100000.0,-12616560.50955414,0.0,318471337.5796178,260567515.9235669,270217834.3949044,817197.4522292993,318914649.6815286,261468152.866242,271089171.9745223,71313375.79617834,16856687.89808917,160891082.8025478,150543312.1019108,2491655414.012739,667812101.910828,447063057.3248407,743673248.4076433,2572010828.025477,693658598.7261146,619957324.8407643,909426751.5923568,4072215286.624204,2304960509.55414,833514012.7388535,1189585987.261146,3915735031.847134,2158085350.318471,933356687.8980892,1163410191.082802,40785987.26114649,-95760509.55414012,-285124840.7643312,-143597452.2292994,-8115923.566878981,-41382802.5477707,-209904458.5987261,-80182802.5477707
243,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,Х,Х,10.0,34,34.0,1,6575.15923566879,1,0.0,0.0,0.0,107643.3121019108,1216362420.382166,1213068789.808917,1142164968.152866,1130737579.617834,1224686624.203822,1217359872.611465,1147908917.197452,1137142675.159236,88992993.63057324,83919108.28025477,130175159.2356688,238397452.2292994,473430573.2484076,416099363.0573248,558496815.2866242,692219108.2802547,6369.426751592357,6369.426751592357,6369.426751592357,6369.426751592357,-27171974.522293,4318471.337579617,10438216.56050955,17478980.89171974,1083781528.662421,1052607006.369427,984105732.4840764,899437579.6178343,1084014012.738854,1052839490.44586,984338216.5605096,899670063.6942675,0.0,0.0,0.0,1749681.52866242,641275159.2356688,576301273.8853503,711629299.3630573,910463057.3248408,641275159.2356688,576301273.8853503,711629299.3630573,912212738.8535032,915762420.3821656,971705095.5414011,942219745.22293,1251412738.853503,835077070.0636942,864999363.0573248,849750318.4713376,1171361146.496815,34761146.49681529,39628025.47770701,8183439.49044586,16214649.68152866,59557324.84076433,76944585.98726115,47417197.4522293,32652229.29936305
244,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,0.0,8,2.92156862745098,13,2120751.197452229,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4738853.503184713,0.0,0.0,0.0,4738853.503184713,0.0,0.0,0.0,8392356.687898088,0.0,0.0,0.0,15714012.7388535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9928662.420382164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800636.9426751592,0.0,0.0,0.0,2954140.127388535,0.0,0.0,0.0,6769426.751592357,0.0,0.0,0.0,9723566.878980892,0.0,0.0,0.0,61707006.36942675,0.0,0.0,0.0,58246496.81528662,0.0,0.0,0.0,3236305.732484076,0.0,0.0,0.0,3460509.554140128
245,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,0.0,13,4.25,1,0.0063694267515923,4,0.0,0.0,0.0,0.0,70063.69426751592,1788535.031847134,1447133.757961783,117834.3949044586,70063.69426751592,1788535.031847134,1447133.757961783,117834.3949044586,11292356.68789809,10552229.29936306,6215923.566878981,11508280.25477707,27303184.7133758,24367515.92356688,26400636.94267516,39919745.22292993,0.0,0.0,0.0,0.0,8794904.458598725,11294904.45859872,11871337.57961783,11927388.53503185,0.0,1241401.27388535,0.0,0.0,0.0,10591719.74522293,335031.847133758,0.0,6987261.146496815,4269426.751592357,12917197.4522293,25210191.08280255,11591082.80254777,0.0,2724203.821656051,2900000.0,18578343.94904459,4269426.751592357,15641401.27388535,28110191.08280255,107167515.9235669,87156687.89808917,53672611.46496815,62915923.56687898,96164968.15286624,83684076.43312101,52822929.93630573,61140127.38853503,10985350.31847134,3034394.904458599,486624.203821656,268152.8662420382,11002547.77070064,3472611.464968153,849681.5286624203,1775796.178343949
246,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,10.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2538853.503184713,3082802.5477707,3611464.968152866,3250955.414012739,2538853.503184713,3082802.5477707,3611464.968152866,3250955.414012739,5313375.796178344,1264968.152866242,16031210.1910828,24370700.63694268,13464968.15286624,11766878.98089172,22887898.08917197,32920382.16560509,15923.56687898089,15923.56687898089,15923.56687898089,15923.56687898089,5504458.598726114,11036942.67515924,22248407.6433121,23875159.23566879,0.0,0.0,0.0,2956687.898089172,0.0,0.0,0.0,2956687.898089172,0.0,0.0,0.0,0.0,10495541.40127389,3808917.197452229,4250955.414012739,9339490.445859872,10499363.05732484,3812738.853503184,4250955.414012739,9339490.445859872,269765605.0955414,259093630.5732484,327739490.4458598,241689808.9171974,232375796.178344,199084076.433121,239480891.7197452,173618471.3375796,4254140.127388535,6860509.554140127,14011464.96815287,4417834.394904458,4344585.987261146,6965605.095541401,14147770.70063694,4631210.191082803
247,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,,0,0.0,0,0.0,0,0.0,0.0,2199363.057324841,7608917.197452229,5137598089.171974,22983960509.55414,38534748407.64331,59894117834.39491,21907219108.28025,33521951592.35669,46744275159.23566,66289719108.28025,1981121019.10828,3957485987.261147,3978201273.88535,8897705095.5414,2676080891.719745,4481763057.324841,4326141401.273885,9570059235.668789,295652866.2420382,295652866.2420382,295652866.2420382,295652866.2420382,-1119217197.452229,-2554023566.878981,2939996178.343949,4526968789.808917,22798926751.59236,5908258598.726114,37961366878.98089,48875067515.92357,23339121019.10828,8492220382.165605,42347935668.78981,59529982802.54777,636.9426751592356,27918700636.94268,0.0,4936359235.66879,1759318471.337579,3998280254.77707,5372219745.22293,6292928025.477707,2363396178.343949,32065517834.39491,5782484713.375796,11802826751.59236,22214012.7388535,2414109554.140127,22156631210.19108,35243824840.76433,28438216.56050955,2503043312.101911,11339938853.50318,23931928662.42038,-584862420.3821656,-5236221656.050955,7311398726.11465,7404832484.076433,-102884713.3757962,-297786624.2038217,10426617197.45223,10737327388.53503
248,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,10.0,29,6.275109170305677,87,132537620.2547771,229,0.0,0.0,0.0,0.0,177707.0063694267,140127.3885350318,143949.0445859873,54140.12738853503,177707.0063694267,140127.3885350318,143949.0445859873,190445.8598726114,25609554.14012739,41693630.57324841,39298726.11464968,73777707.00636943,26707006.36942675,42166878.98089172,45715923.56687898,81883439.49044585,0.0,0.0,6369.426751592357,6369.426751592357,4871974.522292993,10422292.99363057,14382165.60509554,17863694.26751592,4713375.796178344,9652229.299363056,14917197.4522293,20321656.05095541,4713375.796178344,9652229.299363056,14917197.4522293,20321656.05095541,7668789.808917197,6092993.630573248,2038216.560509554,50955.41401273885,9629936.305732485,16140127.38853503,13897452.22929936,43382802.5477707,17298726.11464968,22233121.01910828,16560509.55414013,43888535.03184713,181845859.8726114,320009554.1401274,381891082.8025478,470592356.6878981,178457961.7834395,311726751.5923567,351617197.4522293,441229936.3057325,2560509.554140128,7007643.312101911,5281528.662420382,4470700.636942675,3387898.089171974,8282802.5477707,7984713.375796178,6525477.707006369
249,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,30,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,30.0,6,3.25,1,511178.9108280255,4,0.0,0.0,0.0,0.0,29997452.22929936,23996815.2866242,17685987.2611465,43687261.14649681,29997452.22929936,23996815.2866242,17685987.2611465,43692993.63057325,144517834.3949045,199540764.3312102,119645859.8726115,90800636.94267516,284259235.6687898,317159235.6687898,318172611.4649681,406094904.4585987,6369.426751592357,6369.426751592357,6369.426751592357,6369.426751592357,43047770.70063694,133292356.6878981,205631210.1910828,359842675.1592357,23333757.96178344,117929936.3057325,0.0,0.0,23333757.96178344,117929936.3057325,0.0,0.0,0.0,0.0,0.0,0.0,247875159.2356688,89933757.96178344,130227388.5350318,89945222.9299363,247875159.2356688,89933757.96178344,130227388.5350318,89945222.9299363,606098089.1719745,959313375.7961783,678178980.8917197,875963694.2675159,525052866.2420382,705098089.1719745,528798089.1719745,418407643.3121019,14133121.01910828,112657961.7834395,90778343.9490446,266856687.8980892,12514649.68152866,76459235.6687898,2321019.108280255,249221656.0509554
250,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,10,Х,Х,Х,Х,Х,Х,20.0,0,0.0,0,0.0,0,5095.541401273885,636.9426751592356,0.0,0.0,488535.0318471338,842675.1592356687,7364331.210191082,7340764.33121019,493630.5732484076,843312.101910828,7364331.210191082,7340764.33121019,35849681.52866242,48635031.84713376,49052866.24203821,34260509.55414013,45359235.66878981,65194267.51592357,86236305.73248407,58419745.22292993,2184713.375796178,21019.10828025477,21019.10828025477,21019.10828025477,2184713.375796178,2591719.74522293,3668152.866242038,2071337.579617834,0.0,0.0,0.0,6291082.802547771,0.0,397452.229299363,59235.66878980892,6319108.280254777,0.0,0.0,0.0,0.0,43658598.72611465,63048407.6433121,89873248.4076433,57370063.69426751,43668152.86624204,63048407.6433121,89873248.4076433,57370063.69426751,66405095.54140128,104792993.6305732,120922292.9936306,75378980.89171974,63139490.44585987,94529299.36305732,110799363.0573248,80175159.2356688,1258598.72611465,686624.2038216561,1347133.757961783,2129299.363057325,3265605.095541401,1256687.898089172,1485987.261146497,-12835031.84713376
251,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,10.0,0,0.0,0,0.0,0,0.0,0.0,0.0,8280.254777070064,17457961.78343949,49996178.34394904,59769426.75159235,62764968.15286624,17457961.78343949,50150955.41401274,59769426.75159235,62772611.46496815,27169426.75159236,18921019.10828025,43926751.59235669,34410828.02547771,28308917.19745223,21501910.82802548,49719745.22292993,51882165.60509554,0.0,0.0,0.0,6369.426751592357,13282802.5477707,39329299.36305732,50968789.8089172,70877070.06369427,5095541.401273885,4777070.063694268,7961783.439490446,7961783.439490446,6023566.878980892,20202547.77070064,18961146.49681529,16826751.59235669,0.0,0.0,0.0,0.0,26460509.55414013,12121019.10828026,39090445.85987261,26561783.43949044,26460509.55414013,12121019.10828026,39558598.72611465,26950955.41401274,338940764.3312102,260291719.7452229,308427388.5350319,379362420.3821656,330087898.0891719,226493630.5732484,293720382.1656051,350957961.7834395,8755414.012738854,33715923.56687898,14724840.76433121,24964968.15286624,8852866.242038216,33798089.17197452,14707006.36942675,25123566.87898089
252,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,10.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2006369.426751592,2072611.464968153,0.0,0.0,2006369.426751592,2072611.464968153,1149681.52866242,1133757.961783439,53980254.77707006,86857961.78343949,10397452.22929936,12252229.29936306,81643949.04458599,132019745.2229299,318471.3375796178,318471.3375796178,318471.3375796178,318471.3375796178,960509.5541401274,3872611.464968153,27309554.14012739,18926114.64968153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110828.025477707,9436942.675159236,8379617.834394904,56340764.33121019,115055414.0127388,9436942.675159236,8379617.834394904,56340764.33121019,115166242.0382166,386205095.5414013,395526751.5923567,486333121.0191082,462256687.8980892,381117197.4522293,388052866.2420382,415894904.4585987,390012738.8535032,802547.7707006369,3640127.388535032,33738853.50318471,23259872.61146497,1142038.21656051,4268789.808917197,32616560.50955414,23741401.27388535
253,100,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,100,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,30,Х,30,Х,Н/Д,Х,Х,Х,Х,Х,20,Х,50,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,10,Х,Х,Х,Х,Х,Х,350.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,11096815.2866242,8622929.936305732,6317197.452229299,4611464.968152866,11096815.2866242,8622929.936305732,6317197.452229299,4611464.968152866,3951592.356687898,11324203.82165605,18305732.48407644,11392993.63057325,14471337.57961783,18415286.62420382,26557961.78343949,19421019.10828025,6369.426751592357,6369.426751592357,6369.426751592357,6369.426751592357,1056687.898089172,1582165.605095541,1128662.420382166,486624.203821656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6056050.955414012,6136305.732484076,6346496.815286624,10978980.89171974,18455414.01273885,19319745.22292994,25400000.0,12566878.98089172,24511464.96815287,25456050.95541401,31746496.81528662,23545859.87261146,189880891.7197452,197494904.4585988,211036942.6751592,174111464.9681529,170943312.1019108,178030573.2484076,190340764.3312102,154151592.3566879,1312738.853503185,656687.898089172,1402547.770700637,479617.8343949045,817197.4522292993,2569426.751592357,3250318.47133758,3221656.050955414
254,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,0.0,3,3.0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,9068152.866242038,9489171.974522293,7184713.375796178,0.0,9089808.917197453,9489171.974522293,7184713.375796178,4850318.471337579,9176433.121019108,16995541.40127388,32880254.77707006,6342038.216560509,12143949.04458599,32098089.17197452,44638216.56050956,6369.426751592357,6369.426751592357,6369.426751592357,6369.426751592357,1830573.248407644,7819108.280254777,19189171.97452229,30779617.83439491,0.0,0.0,0.0,0.0,0.0,536305.7324840764,3899363.057324841,634394.9044585987,0.0,0.0,6137579.617834395,1554140.127388535,4511464.968152866,12878343.94904458,11347133.75796178,16650955.41401274,4511464.968152866,12878343.94904458,18498726.11464968,20408917.19745223,96254777.0700637,195379617.8343949,355222929.9363057,301375796.178344,93989171.9745223,186211464.9681529,331949681.5286624,277726114.6496815,2023566.878980892,6787898.089171974,14212738.85350318,14487898.08917197,2038216.560509554,6813375.796178344,13906369.42675159,14631210.1910828
255,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,10,Х,Х,10,Х,Х,Х,Х,Х,Х,30.0,9,3.1,9,1112314.127388535,40,0.0,0.0,0.0,0.0,5003821.656050955,5821019.108280255,9433757.96178344,8218471.337579617,5003821.656050955,6043949.044585987,9433757.96178344,8218471.337579617,2977070.063694268,13323566.87898089,35052229.29936305,47859235.66878981,4156050.955414013,20726751.59235669,44973248.40764331,74198726.11464968,7006.369426751592,7006.369426751592,7006.369426751592,7006.369426751592,535668.7898089172,2111464.968152866,2492993.630573248,2983439.49044586,5563057.324840765,5704458.598726114,29474522.29299363,49448407.6433121,5563057.324840765,5704458.598726114,29474522.29299363,49448407.6433121,2484076.433121019,4024203.821656051,12772611.46496815,13075796.17834395,577070.0636942675,14930573.24840764,9666878.98089172,16909554.14012739,3061146.496815287,18954777.07006369,22439490.44585987,29985350.31847133,24082802.5477707,165640764.3312102,252554140.1273885,275002547.7707006,21417834.39490446,120500000.0,238068789.8089172,258564968.1528662,523566.8789808917,1636305.732484076,847133.7579617834,704458.5987261146,1218471.337579618,36040764.33121019,3672611.464968153,5112101.910828025
256,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,10.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,15400000.0,11368789.8089172,39028025.47770701,30182165.60509554,15400000.0,11368789.8089172,39028025.47770701,30182165.60509554,114229936.3057325,128954140.1273885,82235668.78980891,105684076.433121,177631847.1337579,234137579.6178344,180784076.433121,258786624.2038217,6369.426751592357,6369.426751592357,30952866.24203822,30952866.24203822,2610191.082802548,4105732.484076433,38688535.03184713,44125477.70700637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16103821.65605095,78663694.26751593,25105732.48407644,75480254.77707006,174317834.3949045,162736305.7324841,156017834.3949045,169363057.3248408,190421656.0509554,241400636.9426752,181123566.8789809,244843312.1019108,1005909554.140127,699036305.7324841,762477707.0063694,625392356.687898,968283439.490446,684549681.5286624,723028662.4203821,594121019.1082802,1532484.076433121,2391719.74522293,5608280.25477707,12245222.9299363,5303184.713375796,12276433.12101911,32633757.96178344,23251592.3566879
257,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,10,Х,20.0,7,2.339285714285714,5,1016999.261146497,56,0.0,0.0,0.0,0.0,617197.4522292993,991082.8025477708,5873885.350318471,24252866.24203822,628662.4203821656,991082.8025477708,5873885.350318471,24252866.24203822,1633121.01910828,2781528.662420382,2349681.52866242,2944585.987261146,3448407.643312102,6796178.343949044,3235668.789808917,8006369.426751592,6369.426751592357,0.0,0.0,0.0,60509.55414012739,1273248.407643312,2785987.261146497,7271974.522292993,0.0,0.0,0.0,12200636.94267516,0.0,280254.7770700637,0.0,13576433.12101911,956687.898089172,478980.8917197452,1079617.834394904,3360509.554140128,3059872.611464968,5754777.070063694,5243949.044585987,8050318.471337579,4016560.50955414,6233757.961783439,6323566.878980892,11410828.02547771,26535668.78980892,34294267.51592357,59721019.10828025,111850955.4140127,24584076.43312101,33263694.26751592,57870063.69426751,107111464.9681529,68789.80891719744,1032484.076433121,3077070.063694268,5636305.732484076,103821.6560509554,1030573.248407643,1850955.414012739,4739490.445859873
258,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,10,Х,Х,Х,10,Х,Х,10,Х,Х,40.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2817834.394904458,2821656.050955414,2574522.29299363,0.0,2817834.394904458,2821656.050955414,2574522.29299363,0.0,14982802.5477707,28640764.33121019,39068789.8089172,33458598.72611465,50117834.39490446,71654140.12738854,95772611.46496814,93221019.10828026,6369.426751592357,6369.426751592357,6369.426751592357,6369.426751592357,192993.6305732484,621656.050955414,1649681.52866242,2638853.503184713,0.0,1912738.853503185,614012.7388535031,0.0,0.0,2228025.477707007,1017197.452229299,0.0,11598726.11464968,12224203.82165605,9304458.598726114,0.0,41143949.04458599,59401910.82802548,86375796.17834395,90582165.60509554,52742675.15923566,71626114.64968152,95680254.77707006,90582165.60509554,233383439.4904459,240015286.6242038,280780254.77707,97588535.03184712,192389808.9171974,187119108.2802548,253812738.8535032,90171337.57961784,255414.0127388535,550318.4713375795,1309554.140127388,1236305.732484076,322292.9936305732,682165.6050955413,2428025.477707007,1300000.0
